canvas_w	canvas_h	dab_radius_px	event_count	stroke_duration_ms	wall_total_ms	behind_by_ms	max_event_behind_ms	cpu_median_us	cpu_p95_us	cpu_max_us	gpu_median_us	gpu_p95_us	gpu_max_us
1280	720	1	204	3536.000	3540.476	4.476	8.279	5038.00	7853.40	11172	1755.00	4380.00	6370
1280	720	10	204	3536.000	3540.012	4.012	7.508	4484.00	6316.00	9147	2325.00	6307.40	8775
1280	720	100	204	3536.000	3539.717	3.717	7.552	3667.00	6308.40	10364	5053.00	11595.00	17083
1280	720	250	204	3536.000	3569.739	33.739	30.168	3776.00	27817.80	44368	10815.00	22976.80	40757
1280	720	500	204	3536.000	5240.761	1704.761	51.479	25963.00	55639.60	69441	21798.00	47595.20	61624
1280	720	1000	204	3536.000	6472.061	2936.061	78.773	31137.00	72351.80	93173	27990.00	67324.20	85221
1280	720	2000	204	3536.000	4819.252	1283.252	85.347	2922.00	67493.20	101644	11923.00	61445.20	92530
1920	1080	1	204	3536.000	3540.894	4.894	24.156	5187.00	8042.40	38456	1011.00	3133.00	6094
1920	1080	10	204	3536.000	3540.377	4.377	22.375	4739.00	7157.20	36675	1923.00	4758.60	10620
1920	1080	100	204	3536.000	3539.499	3.499	23.792	4053.00	8046.20	38092	6777.00	13918.20	21913
1920	1080	250	204	3536.000	4805.173	1269.173	41.485	24113.00	46477.00	55685	16696.00	40621.20	48029
1920	1080	500	204	3536.000	8864.062	5328.062	108.330	42693.00	97144.60	122330	33824.00	83090.00	106018
1920	1080	1000	204	3536.000	14890.659	11354.659	193.390	75405.00	164184.00	207490	65778.00	149097.00	188880
1920	1080	2000	204	3536.000	14966.540	11430.540	235.376	85779.00	176519.00	249776	77408.00	172752.00	232613
2560	1440	1	204	3536.000	3540.661	4.661	36.534	5834.00	8937.60	50534	1552.00	4271.00	6400
2560	1440	10	204	3536.000	3540.025	4.025	22.594	5217.00	8746.40	37271	2266.00	6145.20	8182
2560	1440	100	204	3536.000	3552.676	16.676	23.111	4745.00	25482.60	38775	8678.00	20063.40	41824
2560	1440	250	204	3536.000	6634.921	3098.921	63.930	32527.00	61944.40	78030	22683.00	53119.00	67309
2560	1440	500	204	3536.000	12389.708	8853.708	137.812	58788.00	129203.60	159312	45357.00	112575.20	129901
2560	1440	1000	204	3536.000	21757.966	18221.966	271.400	109133.00	221406.40	285500	92481.00	194469.60	258264
2560	1440	2000	204	3536.000	25637.241	22101.241	513.379	122558.00	280232.60	534679	110135.00	258683.20	499393
3840	2160	1	204	3536.000	3541.420	5.420	23.703	6567.00	10027.20	41690	1476.00	3615.20	8530
3840	2160	10	204	3536.000	3539.122	3.122	22.779	6382.00	9638.20	42363	2391.00	5707.20	9925
3840	2160	100	204	3536.000	4951.421	1415.421	39.256	24111.00	44056.40	53856	14206.00	31548.20	42816
3840	2160	250	204	3536.000	10300.779	6764.779	169.643	48870.00	100744.60	190943	32978.00	78958.40	158097
3840	2160	500	204	3536.000	19763.226	16227.226	215.091	95181.00	192321.00	229191	68270.00	157204.20	199565
3840	2160	1000	204	3536.000	36705.350	33169.350	477.753	174868.00	396568.40	499053	140676.00	346012.60	416555
3840	2160	2000	204	3536.000	57634.771	54098.771	837.897	275790.00	560400.60	852297	242081.00	502560.60	765836
