canvas_w	canvas_h	dab_radius_px	event_count	stroke_duration_ms	wall_total_ms	behind_by_ms	max_event_behind_ms	cpu_median_us	cpu_p95_us	cpu_max_us	gpu_shader_median_us	gpu_shader_p95_us	gpu_shader_max_us	gpu_sync_in_median_us	gpu_sync_in_p95_us	gpu_sync_in_max_us	gpu_sync_out_median_us	gpu_sync_out_p95_us	gpu_sync_out_max_us	submit_median_us	submit_p95_us	submit_max_us	dispatches_per_event_avg	dabs_per_event_avg	union_bbox_area_per_event_avg
1280	720	1	204	3536.000	3540.196	4.196	8.354	5109.00	8015.20	10942	580.00	1361.20	2946	489.00	1137.40	1419	240.00	437.00	504	2450.00	3702.20	7517	8.314	286.529	4654
1280	720	10	204	3536.000	3539.908	3.908	7.627	4644.00	7356.80	8727	505.00	1032.00	1840	757.00	1326.20	2042	315.00	529.00	841	2485.00	3840.40	7105	8.314	201.848	10854
1280	720	100	204	3536.000	3539.676	3.676	7.993	4014.00	6834.60	8987	306.00	1118.40	2551	2277.00	3480.60	4274	1050.00	1653.80	2386	2581.00	3966.60	7140	8.029	20.176	197168
1280	720	250	204	3536.000	3538.869	2.869	24.855	3580.00	5807.00	38855	384.00	1001.40	2668	2412.00	3895.60	12752	1545.00	2770.20	7950	2256.00	3256.00	7094	6.402	8.083	835616
1280	720	500	204	3536.000	3539.583	3.583	23.831	3300.00	5281.80	38131	555.00	1441.00	2728	2097.00	4653.00	9678	1051.00	3058.20	6634	2040.00	3098.80	7078	3.956	4.059	1837229
1280	720	1000	204	3536.000	3539.082	3.082	14.098	2744.00	4229.20	35498	650.00	2107.00	3789	1256.00	3770.80	7591	292.00	1036.80	2974	1687.00	2458.80	13867	2.034	2.034	2255072
1280	720	2000	204	3536.000	3539.019	3.019	15.743	2742.00	4211.20	37143	692.00	1866.80	5078	1131.00	2828.00	6875	259.00	643.80	1521	1651.00	2395.00	12060	1.025	1.025	1466990
1920	1080	1	204	3536.000	3540.255	4.255	23.410	5451.00	7757.00	37710	524.00	1274.00	2666	559.00	1490.60	2083	208.00	534.60	783	2341.00	3145.20	7269	8.559	438.539	10081
1920	1080	10	204	3536.000	3540.012	4.012	23.074	5017.00	7580.40	37374	388.00	1360.00	3091	716.00	1780.20	2659	254.00	683.00	1119	2425.00	3556.40	7319	8.559	308.828	18755
1920	1080	100	204	3536.000	3539.608	3.608	31.605	4140.00	6308.20	45905	229.00	914.20	1715	2016.00	3210.00	4859	969.00	1771.60	2816	2596.00	3725.20	7465	8.422	30.936	235482
1920	1080	250	204	3536.000	3540.577	4.577	22.009	4163.00	6063.60	36309	386.00	1016.40	1595	3108.00	4816.40	8013	1540.00	2708.80	4837	2671.00	3756.80	15991	7.642	12.353	1045568
1920	1080	500	204	3536.000	3539.250	3.250	30.562	3996.00	5779.60	44862	627.00	1245.20	2249	3021.00	5534.80	9029	2168.00	4474.60	6749	2463.00	3527.80	7215	5.539	6.230	2813993
1920	1080	1000	204	3536.000	3539.504	3.504	28.063	3839.00	6044.20	42063	1209.00	2483.00	7862	3021.00	6236.80	19720	1197.00	3116.80	9408	2346.00	3418.20	7322	3.127	3.152	5348161
1920	1080	2000	204	3536.000	3540.469	4.469	24.074	3364.00	5229.80	38374	1211.00	3057.00	5072	1704.00	3655.80	7731	583.00	1616.80	3043	2000.00	3024.20	7595	1.613	1.613	5017430
2560	1440	1	204	3536.000	3540.028	4.028	8.013	6086.00	9134.00	36261	586.00	1916.20	4760	760.00	1918.00	2849	295.00	850.20	1461	2396.00	3442.80	7494	8.814	596.951	17572
2560	1440	10	204	3536.000	3540.447	4.447	14.366	5625.00	8393.60	35466	465.00	1725.40	3392	941.00	2049.20	2692	339.00	1007.20	1458	2537.00	3427.20	7906	8.814	420.441	28767
2560	1440	100	204	3536.000	3541.737	5.737	15.302	4349.00	6820.80	36702	278.00	782.80	1316	2562.00	3766.60	6499	1506.00	2383.40	4111	2714.00	3938.20	7553	8.755	42.137	275881
2560	1440	250	204	3536.000	3539.996	3.996	8.119	4454.00	6845.40	34957	443.00	903.00	1147	3491.00	4707.20	6464	2250.00	3215.40	3779	2842.00	3781.40	7555	8.333	16.873	1198200
2560	1440	500	204	3536.000	3539.325	3.325	25.985	5361.00	9449.00	42732	899.00	1831.40	2650	4791.00	8420.00	12310	3650.00	6774.00	10714	3294.00	5284.20	22488	6.765	8.436	3516147
2560	1440	1000	204	3536.000	3821.853	285.853	21.405	18198.00	32394.80	42405	1995.00	4400.60	6050	5120.00	11319.80	14777	2791.00	7620.00	10323	3784.00	29007.80	33156	4.123	4.245	7635587
2560	1440	2000	204	3536.000	3618.867	82.867	20.850	4732.00	27708.00	37106	2430.00	5466.40	10067	3084.00	7724.00	13881	1635.00	4034.00	7483	2693.00	21487.20	34559	2.118	2.118	8789082
3840	2160	1	204	3536.000	3540.819	4.819	20.705	6935.00	9870.60	40166	480.00	2277.00	5327	832.00	2150.00	4204	367.00	1297.20	2674	2408.00	3375.20	35746	9.069	916.549	39237
3840	2160	10	204	3536.000	3539.908	3.908	22.446	6161.00	9713.00	45485	372.00	1763.80	3921	919.00	2521.20	4480	426.00	1508.20	3235	2444.00	3784.60	8435	9.069	645.534	55577
3840	2160	100	204	3536.000	3540.465	4.465	21.165	4899.00	7509.60	40733	249.00	763.00	1369	2615.00	4113.00	7206	1765.00	2849.00	5077	3002.00	4215.00	36893	9.039	64.627	356606
3840	2160	250	204	3536.000	3561.660	25.660	38.924	5703.00	22544.80	53024	496.00	1284.40	1911	4732.00	7966.20	12941	3675.00	6744.40	11449	3441.00	11639.80	25235	8.853	25.819	1412694
3840	2160	500	204	3536.000	5305.811	1769.811	65.503	29809.00	37329.00	79803	1273.00	2495.60	4629	9448.00	12723.20	22919	10036.00	14474.60	24898	23286.00	33261.20	36685	8.069	12.926	4395837
3840	2160	1000	204	3536.000	7046.382	3510.382	43.344	37304.00	54752.40	58323	3166.00	5796.60	7830	12133.00	20387.80	22544	9595.00	16297.80	19698	28835.00	51236.40	55804	5.784	6.490	11656344
3840	2160	2000	204	3536.000	7687.193	4151.193	126.236	37172.00	66423.80	140536	5637.00	10744.20	25160	9869.00	21910.60	34223	5958.00	16795.60	34226	31106.00	58100.60	76834	3.279	3.309	20514778
