canvas_w	canvas_h	dab_radius_px	event_count	stroke_duration_ms	wall_total_ms	behind_by_ms	cpu_median_us	cpu_p95_us	cpu_max_us
1280	720	1	204	3536.000	3552.875	16.875	4855.00	7439.60	11184
1280	720	10	204	3536.000	3552.728	16.728	4479.00	6832.20	8459
1280	720	100	204	3536.000	3554.102	18.102	3776.00	5723.00	6547
1280	720	1000	204	3536.000	3556.087	20.087	2641.00	4997.40	42800
1280	720	2000	204	3536.000	3555.109	19.109	2546.00	4117.00	40378
1920	1080	1	204	3536.000	3551.909	15.909	5252.00	7807.40	41310
1920	1080	10	204	3536.000	3557.517	21.517	4784.00	6951.60	48463
1920	1080	100	204	3536.000	3556.106	20.106	3898.00	6089.20	42119
1920	1080	1000	204	3536.000	3554.938	18.938	3313.00	5887.20	50789
1920	1080	2000	204	3536.000	3559.005	23.005	2973.00	5368.40	61611
2560	1440	1	204	3536.000	3551.499	15.499	5594.00	9437.80	40387
2560	1440	10	204	3536.000	3558.398	22.398	5208.00	9564.20	50188
2560	1440	100	204	3536.000	3552.092	16.092	4112.00	6362.00	41050
2560	1440	1000	204	3536.000	3862.610	326.610	19076.00	31981.80	44353
2560	1440	2000	204	3536.000	3651.135	115.135	4759.00	27051.60	44267
3840	2160	1	204	3536.000	3572.931	36.931	6722.00	10636.00	54211
3840	2160	10	204	3536.000	3561.573	25.573	6216.00	11789.80	49345
3840	2160	100	204	3536.000	3556.221	20.221	5033.00	8996.20	49398
3840	2160	1000	204	3536.000	7141.560	3605.560	37097.00	56636.80	79131
3840	2160	2000	204	3536.000	7754.852	4218.852	38753.00	65807.80	166072
