canvas_w	canvas_h	dab_radius_px	event_count	stroke_duration_ms	wall_total_ms	behind_by_ms	max_event_behind_ms	cpu_median_us	cpu_p95_us	cpu_max_us	submit_median_us	submit_p95_us	submit_max_us	dispatches_per_event_avg	dabs_per_event_avg	union_bbox_area_per_event_avg
1280	720	1	204	3536.000	3548.652	12.652	1.239	6778.00	10244.80	13672	1928.00	2825.40	4005	8.314	286.529	4916
1280	720	10	204	3536.000	3549.426	13.426	2.682	5363.00	8351.00	13770	2117.00	3210.80	4641	8.304	136.436	15028
1280	720	100	204	3536.000	3568.878	32.878	0.876	3519.00	5177.80	10834	2143.00	3021.80	6144	7.608	13.716	374067
1280	720	250	204	3536.000	3554.155	18.155	19.175	3176.00	5238.40	40575	1905.00	3100.80	3819	5.029	5.505	1372334
1280	720	500	204	3536.000	3562.294	26.294	17.714	2582.00	4798.60	39114	1557.00	2741.40	4144	2.799	2.814	2282607
1280	720	1000	204	3536.000	3555.980	19.980	17.488	2339.00	3854.80	38888	1408.00	2212.40	4233	1.382	1.382	1872274
1280	720	2000	204	3536.000	3550.241	14.241	12.080	2296.00	4047.80	33480	1348.00	2152.00	13445	0.706	0.706	978763
1920	1080	1	204	3536.000	3549.699	13.699	23.054	7176.00	12631.60	37354	1815.00	3596.00	6033	8.559	438.539	10495
1920	1080	10	204	3536.000	3554.019	18.019	24.475	5661.00	9965.20	38775	2045.00	3697.00	5520	8.559	208.853	24231
1920	1080	100	204	3536.000	3555.084	19.084	29.259	3620.00	5552.60	43559	2097.00	3094.80	8434	8.265	20.897	443031
1920	1080	250	204	3536.000	3555.228	19.228	35.781	3281.00	6322.60	50081	2006.00	3441.80	10985	6.642	8.392	1894990
1920	1080	500	204	3536.000	3557.670	21.670	37.042	2990.00	5434.60	50842	1785.00	3059.40	4008	4.039	4.181	4246742
1920	1080	1000	204	3536.000	3560.313	24.313	58.228	2619.00	4580.80	79628	1521.00	2610.40	15486	2.152	2.152	5648487
1920	1080	2000	204	3536.000	3558.053	22.053	43.458	2429.00	4425.20	57758	1393.00	2149.80	12241	1.025	1.025	3295724
2560	1440	1	204	3536.000	3548.589	12.589	11.271	7266.00	15565.00	32771	1619.00	3269.40	5155	8.814	596.951	18093
2560	1440	10	204	3536.000	3550.435	14.435	17.443	6882.00	11797.00	38943	2120.00	3908.80	4786	8.814	284.245	35606
2560	1440	100	204	3536.000	3560.172	24.172	29.905	3938.00	7295.60	51305	2176.00	3866.00	10468	8.637	28.471	504911
2560	1440	250	204	3536.000	3560.010	24.010	32.188	3989.00	6611.20	53588	2309.00	3847.40	4297	7.632	11.368	2243560
2560	1440	500	204	3536.000	3556.219	20.219	25.426	3347.00	6042.60	39726	1982.00	3308.00	14284	5.255	5.706	5720116
2560	1440	1000	204	3536.000	3554.988	18.988	7.264	2697.00	5418.40	42964	1587.00	2888.60	4863	2.863	2.882	9130015
2560	1440	2000	204	3536.000	3557.899	21.899	8.318	2575.00	4170.40	44018	1469.00	2316.60	3129	1.431	1.431	6685726
3840	2160	1	204	3536.000	3559.440	23.440	30.104	7660.00	15255.80	44404	1194.00	2404.80	4121	9.069	916.549	40063
3840	2160	10	204	3536.000	3563.534	27.534	29.681	7177.00	11451.60	43981	1810.00	2731.40	3273	9.069	436.505	65019
3840	2160	100	204	3536.000	3563.189	27.189	22.999	4615.00	8838.60	43272	2464.00	4301.80	12556	9.015	43.725	621711
3840	2160	250	204	3536.000	3557.348	21.348	34.227	4053.00	6802.20	48227	2406.00	3694.40	5374	8.569	17.490	2695803
3840	2160	500	204	3536.000	3558.636	22.636	30.463	4313.00	7238.00	44463	2524.00	3753.40	16659	6.961	8.750	7910107
3840	2160	1000	204	3536.000	3743.154	207.154	77.428	5029.00	28506.00	91728	2707.00	21044.60	24618	4.240	4.392	17106688
3840	2160	2000	204	3536.000	4411.246	875.246	181.038	22738.00	31634.80	195338	2403.00	27410.60	33960	2.235	2.235	19906565
